 difficulty | occurrences 
   45997841 |           1
   45997956 |           1
   45998004 |           1
   45998026 |           9
   45998092 |          25
   45998155 |          38
   45998156 |           2
   45998215 |          19
   45998225 |           2
   45998272 |           2
   45998291 |           1
   45998467 |           6
   45998519 |          26
   45998569 |          47
   45998617 |          87
   45998662 |          40
   45998704 |           8
   45998902 |           1
   45998978 |           4
   45999013 |          33
   45999046 |         116
   45999078 |         106
   45999108 |          47
   45999136 |           9
   45999163 |           3
   45999470 |           1
   45999489 |           5
   45999506 |          17
   45999523 |          55
   45999539 |          37
   45999554 |          21
   45999568 |           2
   46000000 |           3
   46993347 |           1
   46993763 |           1
   46994012 |           1
   46994468 |           1
   46995149 |           1
   46995526 |           1
   46995859 |           2
   46996012 |           1
   46996157 |           1
   46996185 |           1
   46996312 |           2
   46996662 |           1
   46996706 |           1
   46997039 |           5
   46997138 |           4
   46997233 |           7
   46997443 |           1
   46997532 |           8
   46997541 |           1
   46997615 |           7
   46997694 |          16
   46997769 |           2
   46997841 |           3
   46998026 |           8
   46998082 |           1
   46998092 |          12
   46998155 |          33
   46998215 |           7
   46998272 |           3
   46998467 |           2
   46998519 |          13
   46998569 |          36
   46998614 |           1
   46998617 |          80
   46998662 |          40
   46998669 |           1
   46998704 |           8
   46998745 |           1
   46998861 |           1
   46998941 |           2
   46998978 |           7
   46999013 |          28
   46999046 |         119
   46999078 |         161
   46999108 |          79
   46999136 |          10
   46999163 |           3
   46999470 |           1
   46999489 |           3
   46999506 |          28
   46999523 |          79
   46999539 |          87
   46999554 |          25
   46999568 |           5
   46999582 |           1
   47000000 |           8
   47992969 |           1
   47993070 |           1
   47993101 |           1
   47993673 |           1
   47994233 |           1
   47994456 |           1
   47994468 |           1
   47994676 |           1
   47995057 |           1
   47995268 |           1
   47995343 |           1
   47995443 |           1
   47995526 |           1
   47995697 |           1
   47996008 |           2
   47996312 |           1
   47996662 |           2
   47996772 |           1
   47996849 |           1
   47996927 |           1
   47997039 |           3
   47997042 |           1
   47997138 |           2
   47997152 |           1
   47997233 |           4
   47997323 |           1
   47997409 |           1
   47997532 |           5
   47997615 |           8
   47997634 |           1
   47997694 |          11
   47997769 |           7
   47997956 |           1
   47998026 |           9
   47998082 |           1
   47998092 |          23
   47998155 |          32
   47998215 |           7
   47998272 |           1
   47998467 |           3
   47998519 |          16
   47998569 |          50
   47998617 |          59
   47998662 |          47
   47998704 |           6
   47998902 |           1
   47998978 |           4
   47999013 |          32
   47999046 |          98
   47999078 |         164
   47999108 |          99
   47999136 |          14
   47999489 |           5
   47999506 |          40
   47999523 |         134
   47999539 |         150
   47999554 |          56
   47999568 |           6
   48000000 |          14
   48992769 |           1
   48993497 |           1
   48993763 |           2
   48994456 |           1
